Color Name,Brand,tier,has_color_word,word_count,char_length,avg_word_rarity,has_place_word
Baked cherry,Little Greene,Luxury,False,2,12,1.171e-05,False
Bronze red,Little Greene,Luxury,True,2,10,0.00011240000000000001,False
Chinmey brick,Little Greene,Luxury,False,2,13,8.9e-06,False
Chocolate colour,Little Greene,Luxury,False,2,16,3.09e-05,False
Cordoba,Little Greene,Luxury,False,1,7,6.03e-07,False
Elysian ground,Little Greene,Luxury,False,2,14,7.064400000000001e-05,False
Felt,Little Greene,Luxury,False,1,4,0.000135,False
Furrow,Little Greene,Luxury,False,1,6,3.72e-07,False
Light bronze green,Little Greene,Luxury,True,3,18,0.00012159999999999999,False
Purple brown,Little Greene,Luxury,True,2,12,6.145e-05,False
Scullery,Little Greene,Luxury,False,1,8,1.51e-07,False
Spanish brown,Little Greene,Luxury,True,2,13,7.785e-05,True
Theatre red,Little Greene,Luxury,True,2,11,0.00012105,False
Aquamarine - deep,Little Greene,Luxury,False,3,17,3.744133333333334e-05,False
Aquamarine - pale,Little Greene,Luxury,False,3,17,4.108e-06,False
Book room green,Little Greene,Luxury,True,3,15,0.00021633333333333332,False
Dark Brunswick green,Little Greene,Luxury,True,3,20,8.302333333333333e-05,False
Eau de Nil,Little Greene,Luxury,False,3,10,5.7850000000000003e-05,False
Garden,Little Greene,Luxury,False,1,6,5.89e-05,False
Green verditer,Little Greene,Luxury,True,2,14,6.75e-05,False
Kitchen green,Little Greene,Luxury,True,2,13,8.985e-05,False
Loft white,Little Greene,Luxury,True,2,10,0.00016362,False
Mid bronze green,Little Greene,Luxury,True,3,16,7.23e-05,False
Normandy grey,Little Greene,Luxury,True,2,13,1.661e-05,False
Olive colour,Little Greene,Luxury,True,2,12,2.16e-05,False
Olive oil,Little Greene,Luxury,True,2,9,6.915e-05,False
Pea green,Little Greene,Luxury,True,2,9,6.9235e-05,False
Phthalo greene,Little Greene,Luxury,False,2,14,2.875e-06,False
Sage green,Little Greene,Luxury,True,2,10,7.088e-05,False
Bone china blue mid,Little Greene,Luxury,True,4,19,8.915e-05,True
Bone china blue pale,Little Greene,Luxury,True,4,20,7.5625e-05,True
Gauze,Little Greene,Luxury,False,1,5,7.76e-07,False
Gauze mid,Little Greene,Luxury,False,2,9,3.3437999999999994e-05,False
Linen wash,Little Greene,Luxury,False,2,10,1.6435e-05,False
Mirror,Little Greene,Luxury,False,1,6,2.95e-05,False
Pearl colour,Little Greene,Luxury,False,2,12,2.235e-05,False
Pearl colour mid,Little Greene,Luxury,False,3,16,3.6933333333333334e-05,False
Pearl colour pale,Little Greene,Luxury,False,3,17,1.89e-05,False
Shallows,Little Greene,Luxury,False,1,8,4.37e-07,False
Slaked Lime,Little Greene,Luxury,False,2,11,3.65015e-06,False
Welcome,Little Greene,Luxury,False,1,7,9.77e-05,False
Whisper,Little Greene,Luxury,False,1,7,5.5e-06,False
